Month,Day,Hour,DayOfWeek,Holiday,Power,Temperature, 
1,6,14,5,0,81.6931,31.065, 
1,6,15,5,0,79.8356,32, 
1,6,16,5,0,81.0891,32, 
1,6,17,5,0,87.7494,32, 
1,6,18,5,0,85.6905,31.835, 
1,6,19,5,0,82.7468,30.9, 
1,6,20,5,0,80.0675,30.7425, 
1,6,21,5,0,76.5081,30.305, 
1,6,22,5,0,71.0877,30.765, 
1,6,23,5,0,66.4183,30.175, 
1,6,24,5,0,62.2497,28.765, 
1,7,1,6,0,58.6478,27.85, 
1,7,2,6,0,58.044,26.865, 
1,7,3,6,0,57.436,25.935, 
1,7,4,6,0,56.6614,24.97, 
1,7,5,6,0,57.4195,23.9474, 
1,7,6,6,0,58.7773,19.48, 
1,7,7,6,0,63.1637,17.1, 
1,7,8,6,0,67.6188,17.235, 
1,7,9,6,0,71.4433,18.45, 
1,7,10,6,0,73.2203,21.3, 
1,7,11,6,0,74.4311,23.3, 
1,7,12,6,0,74.7427,25.255, 
1,7,13,6,0,73.1173,26.955, 
1,7,14,6,0,71.7226,28.19, 
1,7,15,6,0,70.5966,27, 
1,7,16,6,0,71.1517,26.7, 
1,7,17,6,0,78.4186,24.7, 
1,7,18,6,0,82.3347,22.535, 
1,7,19,6,0,79.2976,19.48, 
1,7,20,6,0,76.9099,17.235, 
1,7,21,6,0,73.9058,17.7, 
1,7,22,6,0,69.926,15.535, 
1,7,23,6,0,65.6716,12.9, 
1,7,24,6,0,61.745,12.765, 
1,8,1,7,0,58.7755,12, 
1,8,2,7,0,57.4083,11.835, 
1,8,3,7,0,57.2195,11.2, 
1,8,4,7,0,57.2153,13.065, 
1,8,5,7,0,57.7248,14.165, 
1,8,6,7,0,59.4552,15.235, 
1,8,7,7,0,62.6451,16.3, 
1,8,8,7,0,67.5297,17.72, 
1,8,9,7,0,71.6929,20.2, 
1,8,10,7,0,74.3548,22.89, 
1,8,11,7,0,74.6118,23, 
1,8,12,7,0,74.8789,24.8, 
1,8,13,7,0,74.8366,24.8, 
1,8,14,7,0,73.7119,26.2727, 
1,8,15,7,0,72.3222,26.9265, 
1,8,16,7,0,73.9297,25.8, 
1,8,17,7,0,81.7817,23.635, 
1,8,18,7,0,84.7992,20.835, 
1,8,19,7,0,82.5644,19.9, 
1,8,20,7,0,79.6894,19.615, 
1,8,21,7,0,76.2793,17.565, 
1,8,22,7,0,71.0627,15.1, 
1,8,23,7,0,65.1737,15.1, 
1,8,24,7,0,61.2795,15.535, 
1,9,1,1,0,58.7311,18.15, 
1,9,2,1,0,58.1082,19.2769, 
1,9,3,1,0,57.7678,21, 
1,9,4,1,0,58.3843,21.1385, 
1,9,5,1,0,60.4056,21.0316, 
1,9,6,1,0,67.7139,21.9, 
1,9,7,1,0,82.6731,21.795, 
1,9,8,1,0,89.0922,21.47, 
1,9,9,1,0,89.5868,23.165, 
1,9,10,1,0,89.6037,24.205, 
1,9,11,1,0,90.2206,24.83, 
1,9,12,1,0,87.6506,24.9486, 
